Allegro Report,,,,,,
C:/USERS/SANDE/ONEDRIVE/DOCUMENTS/GITHUB/GRID-TINV_TIDA-01606/TIDA-01606_POWERCARD/board/solutionstida01606_powercard_20march.brd,,,,,,
Thu Mar 21 16:14:49 2024,,,,,,
,,,,,,
SYM_NAME,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_CLASS,QUANTITY,REFDES
ACS758REV,ACS758REV_5_ACS758REV_ACS772LCB,ACS772LCB-050B-PFF-T,,IC,3,UX4;UX5;UX6
B0505S1WR_REV1,B0505S-1WR3_0_B0505S1WR_REV1_B0,B0505S-1WR3,,IC,3,PS1;PS2;PS3
BOXCAPACITOR10MM,CAPACITOR NON-POL_BOXCAPACITO_1,0.068uF 630V TH,,IC,6,C120;C121;C122;C127;C128;C129
BOXCAPACITOR15MM,CAPACITOR NON-POL_BOXCAPACITOR1,0.15uF 630V TH,,IC,6,C1;C2;C3;C11;C12;C13
BOXCAP_37_5MM,CAPACITOR NON-POL_BOXCAP_37_5MM,10uF TH,,IC,3,C8;C9;C10
CAP400,CAPACITOR NON-POL_CAP400_2200PF,2200PF 3KV 20%,,IC,1,C130
CAP_B45_NCH,CAPACITOR POL_0_CAP_B45_NCH_ELE,Ele 120uF 600V TH,,IC,8,C4;C5;C6;C7;C73;C74;C75;C76
CONN2_HIGHAMP,INDUCTOR_CONN2_HIGHAMP_340UH,340uH,,IC,3,L1;L3;L5
CONN2_HIGHAMP,INDUCTOR_CONN2_HIGHAMP_0.006E 1,0.006E 15A,,IC,3,L2;L4;L6
CONN_HIGHAMP_REV1,CON2_0_CONN_HIGHAMP_REV1_CON2,CON2,,IC,6,J1;J2;J3;J4;J31;J32
CYLD200LS125031,CAP POL_CYLD200LS125031_47UF 25,47uF 25V,,IC,6,C629;C632;C711;C714;C717;C720
DBV5,OPA340_0_DBV5_OPA340NA/250,OPA340NA/250,,IC,2,U20;U21
DCK5,SOCKET8_9_DCK5_LMT87QDCKRQ1,LMT87QDCKRQ1,,IC,1,U17
DO214AB,DIODE_DO214AB_B160-13-F,B160-13-F,,IC,4,D3;D6;D7;D8
DO214_REV3,DIODE ZENER_DO214_REV3_BZV55C15,BZV55C15-TP 15V,,IC,4,D1;D2;D4;D5
FUSE600,FUSE_FUSE600_47,47,,IC,4,RF1;RF2;RF3;RF4
JUMPER4MODIFIED,HEADER 4_1_JUMPER4MODIFIED_PPTC,PPTC041LFBN-RC,,IC,1,J38
LED0603,LED_LED0603_LED GREEN 150060VS5,LED GREEN 150060VS55040,,IC,1,D19
NPTC041KFXC-RC_4PIN,HEADER 4_0_NPTC041KFXC-RC_4PIN_,NPTC041KFXC-RC,,IC,12,J7;J9;J12;J14;J15;J16;J17;J18;J19;J20;J21;J22
NPTC082KFMS-RC,HEADER 8X2_0_NPTC082KFMS-RC_NPT,NPTC082KFMS-RC,,IC,3,J23;J24;J25
PINCONTROLCARD,TEST POINT_0_PINCONTROLCARD_T,T,,IC,80,T84;T85;T86;T87;T88;T89;T90;T91;T92;T93;T94;T95;T96;T97;T98;T99;T100;T101;T102;T103;T104;T105;T106;T107;T108;T109;T110;T111;T112;T113;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T143;T144;T147;T148;T149;T150;T151;T152;T155;T156;T157;T158;T161;T162;T163;T164;T678;T679;T680;T681;T682;T683;T684
PINCONTROLCARD,TEST POINT_PINCONTROLCARD_TP,TP,,IC,6,TP119;TP120;TP121;TP125;TP126;TP127
RELAY_T9AS1D12-15_REV1,CON2_3_RELAY_T9AS1D12-15_REV1_T,T9AS1D12-15,,IC,4,K1;K2;K3;K4
RES0603,CAPACITOR NON-POL_RES0603_0.1UF,0.1uF 0603 25V,,IC,19,C39;C47;C51;C52;C53;C54;C55;C57;C59;C60;C63;C69;C70;C71;C72;C90;C134;C135;C733
RES0603,CAP NP_RES0603_0.1U 0603 25V,0.1u 0603 25V,,IC,1,C44
RES0603,CAPACITOR NON-POL_RES0603_1UF 0,1uF 0603 25V,,IC,2,C56;C58
RES0603,CAPACITOR NON-POL_RES0603_100PF,100pF 0603 50V,,IC,8,C83;C84;C85;C86;C87;C88;C133;C732
RES0603,VARISTOR_0_RES0603_74279228260,74279228260,,IC,2,L21;L23
RES0603,RESISTOR_RES0603_10K 0603 1%,10K 0603 1%,,IC,9,R8;R11;R32;R52;R55;R58;R60;R76;R93
RES0603,RESISTOR_RES0603_68.1E 0603 1%,68.1E 0603 1%,,IC,8,R46;R71;R84;R99;R111;R122;R136;R809
RES0603,RESISTOR_RES0603_10K 0603 0.1%,10K 0603 0.1%,,IC,4,R139;R141;R142;R144
RES0603,RESISTOR_RES0603_10E 0603 5%,10E 0603 5%,,IC,4,R140;R143;R178;R179
RES0603,RESISTOR_RES0603_100E 0603 5%,100E 0603 5%,,IC,4,R197;R198;R199;R200
RES0603,RESISTOR_RES0603_2K 0603 5%,2K 0603 5%,,IC,4,R201;R202;R203;R204
RES0603,RESISTOR_RES0603_820E 0603 1%,820E 0603 1%,,IC,1,R208
RES0603,RESISTOR_RES0603_105E 0603 1%,105E 0603 1%,,IC,3,R793;R795;R803
RES2010N,RESISTOR_RES2010N_510K 2010 5%,510K 2010 5%,,IC,24,R1;R2;R3;R4;R6;R7;R9;R10;R12;R13;R14;R15;R180;R181;R182;R183;R184;R185;R186;R187;R188;R189;R190;R191
RES_PSR400IT,RESISTOR_RES_PSR400IT_0.001E 10,0.001E 1052 1%,,IC,3,R5;R41;R47
RES_SQM7_TYCO,RESISTOR_RES_SQM7_TYCO_0.68E 5%,0.68E 5% TH,,IC,3,R16;R17;R18
SIP_2PIN_BERGSTRIP,CON2_SIP_2PIN_BERGSTRIP_6130021,61300211121,,IC,2,J26;J28
SIP_2PIN_BERGSTRIP,CON2_SIP_2PIN_BERGSTRIP_CON2,CON2,,IC,18,J27;J35;J36;J37;J61;J62;J63;J64;J65;J66;J69;J73;J87;J88;J100;J612;TP145;TP146
SMR0805,INDUCTOR_SMR0805_10E 0805,10E 0805,,IC,18,L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42
SNPD0805_MODIFIED,CAP NP_SNPD0805_MODIFIED_0.1U 0,0.1u 0805 50V,,IC,9,C567;C603;C605;C713;C716;C719;C722;C724;C730
SNPD0805_MODIFIED,CAP NP_SNPD0805_MODIFIED_1U 080,1u 0805 50V,,IC,6,C604;C710;C712;C715;C718;C721
SNPD0805_MODIFIED,CAP NP_SNPD0805_MODIFIED_100P 0,100p 0805 25V,,IC,3,C635;C725;C731
SNPD0805_MODIFIED,C_SNPD0805_MODIFIED_0.1U 0805 5,0.1u 0805 50V,,IC,3,CX7;CX9;CX11
SNPD0805_MODIFIED,C_SNPD0805_MODIFIED_0.33N 0805,0.33n 0805 25V,,IC,3,CX8;CX10;CX12
SNPD0805_MODIFIED,RESISTOR_SNPD0805_MODIFIED_11K,11K 0805 0.1%,,IC,15,R39;R56;R78;R79;R89;R94;R104;R105;R116;R117;R127;R131;R206;R804;R814
SNPD0805_MODIFIED,RESISTOR_SNPD0805_MODIFIED_1M 0,1M 0805 0.1%,,IC,48,R42;R43;R44;R48;R49;R50;R67;R68;R69;R73;R74;R80;R81;R82;R85;R86;R87;R95;R96;R97;R100;R101;R102;R106;R107;R108;R110;R112;R113;R114;R118;R119;R120;R123;R124;R125;R132;R133;R134;R137;R138;R166;R805;R806;R807;R810;R811;R812
SNPD0805_MODIFIED,RESISTOR_SNPD0805_MODIFIED_1K 0,1K 0805 0.1%,,IC,16,R45;R51;R70;R75;R83;R88;R98;R103;R109;R115;R121;R126;R135;R205;R808;R813
SNPD0805_MODIFIED,RESISTOR_SNPD0805_MODIFIED_200E,200E 0805 1%,,IC,2,R59;R66
SNPD0805_MODIFIED,RESISTOR_SNPD0805_MODIFIED_11_1,11K 0805 1%,,IC,1,R61
SNPD0805_MODIFIED,R_SNPD0805_MODIFIED_2.2K 0805 1,2.2K 0805 1%,,IC,9,R401;R497;R815;R816;R817;R818;R819;R820;R821
SNPD1206_MODIFIED,CAP NP_SNPD1206_MODIFIED_10U 12,10u 1206 25V,,IC,2,C43;C49
SNPD1206_MODIFIED,RESISTOR_SNPD1206_MODIFIED_10K,10K 1206 5%,,IC,9,R168;R169;R170;R171;R172;R173;R174;R175;R176
SNPD1206_MODIFIED,RESISTOR_SNPD1206_MODIFIED_0E 1,0E 1206 1%,,IC,3,R192;R193;R194
SOIC14,OPA4340_8_SOIC14_OPA4350UA,OPA4350UA,,IC,2,U18;U19
SOIC127P1150X280-8N,CON MC4_0_SOIC127P1150X280-8N_I,Iso_Opamp_AMC1302 SOIC8_DWV,,IC,3,J182;J614;J615
SOT223_4,IRF1010E/TO_1_SOT223_4_NDT3055L,NDT3055L,,IC,4,Q15;Q16;Q17;Q18
SOT223_4,DM3AT-SF-PEJM5_2_SOT223_4_TLV11,TLV1117LV33DCYR,,IC,1,U15
TESTPOINT,TEST POINT_TESTPOINT_TEST POINT,TEST POINT,,IC,14,TP2;TP3;TP4;TP5;TP6;TP7;TP8;TP9;TP10;TP11;TP12;TP13;TP14;TP15
TO254P1580X500X2522-4,IMZ120R030M1HXKSA1_TO254P1580X5,IMZ120R030M1HXKSA1,,IC,12,Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12
TO92100,SOCKET8_2_TO92100_LMT87LPM,LMT87LPM,,IC,1,U13
TRANS_CSD18534Q5A,CSD18534Q5A_TRANS_CSD18534Q5A_C,CSD18534Q5A,,IC,2,Q13;Q14
