A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!C:/GitHub_Orcad_Projects/Grid-TInv_TIDA-01606/TIDA-01606_PowerCard/Board/solutionstida01606_powercard_rev17.brd!Mon Feb 12 16:30:49 2024!-2454.000!-4774.484!22546.000!20225.516!0.001!mils!TIDA01606_POWERCARD_0!94.400000 mil!4!UP TO DATE!
S!ILA_P!U9!3!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!ILA_N!U9!2!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!GND!U9!11!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!GND!U9!11!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!GND!U9!11!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!GND!U9!11!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!N13953786!U9!1!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!ILB_P!U9!5!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!ILB_N!U9!6!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!N13955848!U9!7!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!ILC_P!U9!10!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!ILC_N!U9!9!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!N13957093!U9!8!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!N13961403!U9!12!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!N13961574!U9!13!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!N13961574!U9!14!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!DC+!C1!1!@tida01606_powercard_0.schematic1(sch_1):ins13765716@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F508!!!!!!!!!!
S!PGND!C1!2!@tida01606_powercard_0.schematic1(sch_1):ins13765716@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F508!!!!!!!!!!
S!PGND!C11!1!@tida01606_powercard_0.schematic1(sch_1):ins13766018@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F507!!!!!!!!!!
S!DC-!C11!2!@tida01606_powercard_0.schematic1(sch_1):ins13766018@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F507!!!!!!!!!!
S!PGND!C12!1!@tida01606_powercard_0.schematic1(sch_1):ins13766034@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F506!!!!!!!!!!
S!DC-!C12!2!@tida01606_powercard_0.schematic1(sch_1):ins13766034@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F506!!!!!!!!!!
S!PGND!C13!1!@tida01606_powercard_0.schematic1(sch_1):ins13766050@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F505!!!!!!!!!!
S!DC-!C13!2!@tida01606_powercard_0.schematic1(sch_1):ins13766050@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F505!!!!!!!!!!
S!DC+!C2!1!@tida01606_powercard_0.schematic1(sch_1):ins13765781@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F504!!!!!!!!!!
S!PGND!C2!2!@tida01606_powercard_0.schematic1(sch_1):ins13765781@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F504!!!!!!!!!!
S!DC+!C3!1!@tida01606_powercard_0.schematic1(sch_1):ins13765807@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F503!!!!!!!!!!
S!PGND!C3!2!@tida01606_powercard_0.schematic1(sch_1):ins13765807@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAPACITOR15MM_0.15UF 630V TH!!!F503!!!!!!!!!!
S!VSEN_C!C10!1!@tida01606_powercard_0.schematic1(sch_1):ins13935730@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F502!!!!!!!!!!
S!N13935832!C10!2!@tida01606_powercard_0.schematic1(sch_1):ins13935730@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F502!!!!!!!!!!
S!VSEN_A!C8!1!@tida01606_powercard_0.schematic1(sch_1):ins13935698@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F501!!!!!!!!!!
S!N13935824!C8!2!@tida01606_powercard_0.schematic1(sch_1):ins13935698@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F501!!!!!!!!!!
S!VSEN_B!C9!1!@tida01606_powercard_0.schematic1(sch_1):ins13935714@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F500!!!!!!!!!!
S!N13935828!C9!2!@tida01606_powercard_0.schematic1(sch_1):ins13935714@discrete.\capacitor non-pol.normal\(chips)!CAPACITOR NON-POL_BOXCAP_37_5MM_10UF TH!!!F500!!!!!!!!!!
S!N14288687!C101!1!@tida01606_powercard_0.schematic1(sch_1):ins14288705@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F482!!!!!!!!!!
S!VINV_A!C101!2!@tida01606_powercard_0.schematic1(sch_1):ins14288705@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F482!!!!!!!!!!
S!N14289468!C102!1!@tida01606_powercard_0.schematic1(sch_1):ins14289486@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F481!!!!!!!!!!
S!VINV_B!C102!2!@tida01606_powercard_0.schematic1(sch_1):ins14289486@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F481!!!!!!!!!!
